511 5016304.443 5375643.471 2.872
501 5016304.005 5375643.658 2.834
8.8 5016308.105 5375641.823 -1994.473
501 5016309.5 5375641.708 3.061
511 5016309.898 5375641.517 3.058
6 5016314.439 5375640.173 3.217
6 5016314.16 5375640.337 3.047
55- 5016309.422 5375647.016 -1993.597
2.8 5016301.079 5375646.288 2.406
5 5016300.721 5375637.421 -1991.128
7 5016307.45 5375641.2 -1996.56
T102 5016300.545 5375650.005 2.338
T104 5016377.947 5375618.211 3.254
8-- 5016359.229 5375624.293 3.383
8-- 5016356.022 5375625.316 3.32
40 5016352.9 5375626.009 3.415
40 5016351.592 5375626.217 3.592
511 5016349.718 5375627.693 3.347
5.7 5016349.369 5375626.922 3.409
6 5016348.676 5375628.296 3.385
6 5016348.727 5375628.387 3.24
30 5016347.361 5375632.214 3.148
31 5016350.546 5375631.126 6.826
33 5016351.624 5375630.721 6.86
31.5- 5016350.818 5375632.022 6.827
500 5016345.645 5375635.874 3.223
500 5016339.98 5375637.891 3.236
5 5016342.016 5375638.848 3.293
500 5016334.333 5375639.953 3.181
444 5016331.005 5375639.01 3.148
6 5016336.12 5375632.564 3.314
6 5016336.032 5375632.634 3.116
40 5016336.737 5375631.433 3.371
777-5 5016335.522 5375631.61 3.257
5 5016338.054 5375631.613 3.351
5 5016337.835 5375630.964 3.364
501 5016343.471 5375629.835 3.299
511 5016343.888 5375629.667 3.332
5.7 5016343.627 5375628.831 3.208
40 5016333.47 5375632.591 3.226
511 5016332.464 5375633.558 3.26
501 5016332.04 5375633.727 3.258
40 5016326.93 5375634.811 3.346
511 5016326.8 5375635.581 3.25
501 5016326.388 5375635.754 3.271
40 5016323.628 5375636.001 3.407
60- 5016321.986 5375637.516 3.214
60- 5016321.998 5375637.521 3.075
61- 5016320.11 5375638.302 3.039
61- 5016320.178 5375638.165 3.223
511 5016321.87 5375637.368 3.211
501 5016321.424 5375637.545 3.061
7 5016321.148 5375636.541 3.249
500 5016328.655 5375642.022 3.205
500 5016322.967 5375644.014 3.188
5 5016323.475 5375645.601 3.234
40 5016308.906 5375641.145 2.992
55 5016315.793 5375635.649 -1991.046
5 5016323.382 5375630.799 -1992.312
5 5016323.56 5375630.834 -1992.306
5 5016324.999 5375632.307 -1993.006
5 5016325.367 5375632.132 -1992.709
5 5016325.74 5375630.161 -1992.593
5 5016325.872 5375630.037 -1992.438
T103 5016327.032 5375640.544 3.135
T105 5016440.525 5375594.798 2.987
133 5016416.526 5375608.041 3.156
500 5016414.869 5375610.897 3.253
30 5016412.752 5375609.839 3.144
30 5016412.298 5375608.934 3.136
31 5016415.591 5375607.659 6.734
33 5016416.717 5375607.195 6.759
5 5016412.049 5375613.567 3.3
500 5016409.242 5375612.891 3.191
5 5016427.972 5375595.895 3.55
5 5016427.66 5375595.324 3.308
444 5016426.112 5375598.026 3.601
5 5016422.498 5375598.158 3.725
5 5016422.177 5375597.63 3.47
7 5016421.477 5375597.593 -1994.545
6 5016425.268 5375599.58 3.239
6 5016425.143 5375599.667 3.08
6 5016412.452 5375604.505 3.123
6 5016412.519 5375604.407 3.269
5 5016416.961 5375600.468 3.608
5 5016416.597 5375599.884 3.484
5 5016411.221 5375602.271 3.612
5 5016411.518 5375602.787 3.639
40 5016410.313 5375602.63 3.475
7 5016407.933 5375603.157 3.286
500 5016405.599 5375605.495 3.565
501 5016405.843 5375605.36 3.59
5 5016405.223 5375604.639 3.33
500 5016403.565 5375614.969 3.216
500 5016397.939 5375616.973 3.244
500 5016397.184 5375617.309 3.248
5 5016398.919 5375618.33 3.292
444 5016394.406 5375619.05 3.525
3 5016394.621 5375618.557 3.17
444 5016398.734 5375615.062 3.17
6 5016398.493 5375609.708 3.299
6 5016398.457 5375609.799 3.138
5 5016400.225 5375607.545 3.63
5 5016399.905 5375606.819 3.38
7 5016398.94 5375607.006 3.446
511 5016394.713 5375609.745 3.413
501 5016394.365 5375609.929 3.412
5 5016394.086 5375609.364 3.238
511 5016389.069 5375612.17 3.435
501 5016388.669 5375612.346 3.44
5 5016388.437 5375611.665 3.263
5 5016383.388 5375614.458 3.538
5.7 5016383.043 5375613.599 3.492
777-3 5016382.515 5375613.849 3.479
40 5016382.841 5375614.631 3.62
6 5016382.512 5375615.811 3.429
6 5016382.461 5375615.867 3.235
500 5016391.515 5375619.339 3.213
500 5016385.87 5375621.374 3.278
5 5016389.476 5375621.735 3.317
444 5016380.718 5375621.537 3.239
500 5016380.2 5375623.432 3.312
55 5016380.653 5375624.987 3.367
55 5016380.819 5375625.467 3.386
55 5016375.661 5375627.327 3.366
55 5016375.428 5375626.882 3.341
500 5016374.594 5375625.421 3.273
6 5016372.094 5375619.768 3.4
6 5016372.061 5375619.826 3.24
5 5016372.269 5375619.083 3.434
5 5016371.947 5375618.405 3.414
7 5016372.277 5375618.126 3.441
5 5016377.733 5375616.73 3.511
5 5016377.467 5375616.089 3.382
8.8 5016360.498 5375623.712 4.273
6 5016363.456 5375623.114 3.418
6 5016363.213 5375623.221 3.261
500 5016368.865 5375627.489 3.283
500 5016363.326 5375629.491 3.265
5 5016364.539 5375630.785 3.302
500 5016357.556 5375631.529 3.231
500 5016356.797 5375631.825 3.221
444 5016353.8 5375630.954 3.228
133 5016351.189 5375631.451 3.129
500 5016351.155 5375633.884 3.247
5 5016351.577 5375635.464 3.303
888 5016361.516 5375626.783 6.999
5- 5016356.823 5375629.904 -1993.242
5- 5016380.647 5375621.304 -1993.491
5- 5016397.384 5375615.272 -1993.338
444 5016320.543 5375637.72 2.876
444 5016380.731 5375621.513 3.247
T104 5016377.937 5375618.213 3.252
T106 5016459.745 5375624.283 2.592
